user_profile_id,question_id,selected_option
193,6,Fine with it
193,7,Often
193,8,Cold
194,1,After midnight
194,2,Messy
194,3,Doesn’t matter
194,4,Night
194,5,Rarely
194,6,Fine with it
194,7,Never
194,8,Cold
195,1,After midnight
195,2,Moderate
195,3,Quiet
195,4,Depends
195,5,Frequently
195,6,Fine with it
195,7,Never
195,8,Warm
196,1,10–12 PM
196,2,Moderate
196,3,Some noise
196,4,Depends
196,5,Rarely
196,6,Depends
196,7,Sometimes
196,8,Mild
197,1,Before 10 PM
197,2,Messy
197,3,Some noise
197,4,Night
197,5,Frequently
197,6,Depends
197,7,Never
197,8,Warm
198,1,Before 10 PM
198,2,Very clean
198,3,Doesn’t matter
198,4,Morning
198,5,Frequently
198,6,Fine with it
198,7,Often
198,8,Cold
199,1,After midnight
199,2,Messy
199,3,Doesn’t matter
199,4,Morning
199,5,Frequently
199,6,Depends
199,7,Often
199,8,Mild
200,1,After midnight
200,2,Moderate
200,3,Doesn’t matter
200,4,Depends
200,5,Occasionally
200,6,Fine with it
200,7,Often
200,8,Mild
